"Observations","84","144","175","154","160"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-3.2","-1.8","-1.3","-1.4","-0.9"
"","1.4","0.5","1.0","0.6","7.0"
"Observations","85","145","176","157","161"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-1.8","-1.6","0.03","-0.9","4.2"
"","1.6","0.7","0.8","0.6","13.9"
"Observations","85","145","176","157","161"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-0.8","-1.6","-1.1","-0.8","-3.3"
"","1.7","1.0","1.3","1.0","14.0"
"Observations","86","145","177","158","162"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-0.2","-2.1","-1.4","-1.3","-8.2"
"","1.2","0.7","1.0","0.7","17.9"
"Observations","86","145","177","158","162"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-0.7","-1.4","-1.1","-1.2","-4.3"
"","1.1","0.6","0.7","0.5","8.8"
"Observations","86","145","177","158","162"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-0.4","-0.9","-0.5","-0.4","-8.3"
"","1.0","0.6","0.8","0.6","16.5"
"Observations","86","145","177","158","162"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-0.2","-1.1","-0.5","-0.6","-6.8"
"","1.0","0.5","0.8","0.5","14.5"
"Observations","86","145","177","158","162"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-2.5","-2.0","-2.0","-1.4","-12.4"
"","0.7","0.5","0.8","0.6","26.6"
"Observations","86","145","177","158","162"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-4.0","-3.5","-3.7","-4.4","5.9"
"","1.0","0.6","0.9","0.7","21.3"
"Observations","86","145","177","158","162"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-1.7","-2.9","-1.2","-2.1","-15.5"
"","0.8","0.6","0.7","0.6","35.0"
"Observations","86","145","177","158","162"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-0.3","-1.7","0.009","-0.8","-28.6"
"","1.2","0.5","1.2","0.8","49.6"
"Observations","86","144","176","157","161"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-2.9","-2.2","-3.6","-2.5","-0.4"
"","1.0","0.6","1.7","0.9","14.8"
"Observations","86","145","176","158","162"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-1.2","-2.1","-0.6","-0.6","-10.6"
"","1.4","0.6","1.0","1.0","17.1"
"Observations","86","145","176","158","162"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-1.3","-1.6","-0.4","-0.7","-6.0"
"","0.7","0.5","1.0","0.5","11.7"
"Observations","86","145","176","158","162"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","0.1","-0.6","0.9","0.3","11.2"
"","1.2","0.8","0.9","0.8","18.3"
"Observations","86","145","176","158","162"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-0.6","-1.5","0.2","0.03","10.9"
"","0.9","0.6","0.7","0.5","18.4"
"Observations","86","145","176","158","162"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-0.6","-1.7","-0.10","-1.0","17.6"
"","0.7","0.7","1.0","0.6","29.5"
"Observations","86","145","176","158","162"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-1.2","-1.3","0.2","-0.4","8.3"
"","0.7","0.6","0.6","0.5","14.7"
"Observations","86","145","176","158","162"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-2.3","-1.6","0.1","-0.7","11.4"
"","0.9","0.8","0.7","0.6","19.4"
"Observations","86","145","176","158","162"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-5.0","-3.7","1.1","-3.6","-4.5"
"","1.7","1.2","1.2","0.9","12.9"
"Observations","86","145","176","158","162"
